study_hours,attendance,previous_score,sleep_hours,assignment_completion,extracurricular,final_score
6.0,53.39,82.13,5.77,74.71,0,78.06
5.77,65.05,83.36,8.14,81.61,1,85.06
3.18,85.41,76.57,7.95,82.04,0,72.54
1.84,53.37,54.32,5.54,85.21,1,60.34
9.07,79.11,89.9,8.57,92.37,0,94.13
9.1,67.29,76.89,8.76,70.0,0,87.64
6.7,81.05,70.82,5.63,83.81,1,79.55
4.05,52.29,46.1,5.77,77.15,1,58.08
4.14,93.58,64.59,6.53,51.2,0,72.22
7.53,98.67,65.32,8.71,41.54,0,76.56
9.07,98.44,87.55,8.38,57.07,0,100.0
8.98,87.48,70.07,4.51,66.58,1,75.95
8.02,56.5,60.92,5.96,77.03,1,72.78
6.78,87.91,93.72,6.77,91.0,0,92.61
1.76,51.23,46.09,6.52,51.77,0,50.65
2.45,51.11,63.24,4.97,47.53,1,54.67
9.09,66.18,42.31,8.29,97.81,0,77.65
6.46,74.43,80.69,7.38,46.48,1,80.97
1.08,88.52,90.49,8.19,68.71,1,75.75
1.91,84.16,55.4,8.29,75.13,1,72.29
6.97,72.3,87.21,7.74,72.48,1,90.25
1.05,63.68,56.07,6.2,45.16,1,56.54
2.45,99.86,90.09,7.05,43.42,1,72.85
5.94,71.31,81.47,4.8,46.33,0,71.46
7.23,72.57,84.27,7.37,75.14,1,85.2
6.87,58.18,40.99,4.9,72.66,1,59.37
3.02,89.74,92.95,7.47,54.02,0,78.78
7.41,84.68,79.97,5.15,78.27,1,82.76
3.14,61.04,56.76,4.59,89.2,0,62.8
3.93,54.12,85.62,4.83,42.49,1,61.94
7.72,84.02,55.48,4.01,69.89,0,78.89
6.85,82.73,88.0,7.59,81.36,0,84.47
8.64,63.66,46.19,7.66,55.14,1,73.15
6.92,97.54,78.7,6.57,58.47,1,88.15
6.11,57.55,69.74,4.81,76.82,1,69.66
1.84,71.62,45.31,4.42,93.88,1,60.91
4.31,97.18,53.3,4.1,88.6,0,63.38
3.39,70.99,40.68,4.83,74.99,0,61.2
3.2,81.93,65.78,8.45,83.81,0,72.71
9.76,69.88,56.57,5.21,61.89,1,74.88
4.54,63.71,72.91,5.77,78.46,0,68.83
9.03,99.2,56.35,4.53,67.97,1,84.35
6.68,70.47,56.5,5.11,51.4,1,65.61
8.15,94.7,80.88,6.6,82.1,0,86.84
5.52,61.5,42.65,7.04,73.39,1,63.72
6.19,60.66,89.66,5.23,61.52,0,71.35
5.43,51.56,86.87,4.29,94.68,1,84.22
2.76,82.58,76.73,5.96,41.26,0,63.12
7.5,68.43,72.63,5.17,58.95,1,79.78
3.53,93.22,89.08,5.1,43.41,0,73.63
1.22,73.66,50.19,8.8,85.99,0,57.51
6.81,98.41,44.34,7.08,82.13,1,77.14
2.59,59.28,53.17,6.78,59.88,1,61.25
9.46,93.43,83.7,6.08,80.54,0,92.09
9.59,88.83,41.91,6.14,63.76,1,81.95
9.23,88.55,72.05,6.7,85.38,1,94.96
4.33,92.24,94.75,7.48,67.25,1,89.43
1.14,88.05,87.06,7.51,64.74,0,70.07
9.35,81.31,68.68,4.86,96.08,0,81.07
4.85,56.56,43.5,6.5,55.05,1,56.23
9.7,51.63,85.73,6.06,47.23,1,83.54
9.67,96.04,72.94,8.35,75.07,0,94.89
8.68,80.83,46.32,7.16,98.16,1,72.84
3.65,89.83,45.16,6.66,62.67,0,62.26
4.47,74.08,90.03,4.58,43.72,1,73.55
8.66,55.87,76.81,7.03,60.36,1,80.19
3.85,56.26,85.61,4.59,70.36,1,75.44
2.53,84.28,88.34,5.69,49.72,0,71.76
6.01,71.52,71.45,4.71,79.49,0,78.57
9.43,60.03,68.46,7.46,99.86,0,84.84
7.26,74.58,63.67,5.03,67.1,0,76.72
6.13,53.21,57.43,5.96,61.28,1,72.74
1.87,79.1,63.9,8.48,64.04,1,72.44
6.54,63.45,82.56,5.02,46.91,0,68.12
9.91,89.88,73.11,6.54,93.0,1,93.08
2.26,65.52,89.09,6.1,64.89,1,69.43
5.66,72.76,64.39,4.09,63.24,0,68.83
8.9,50.58,73.39,7.96,79.58,1,86.67
7.67,53.62,74.72,4.35,66.52,1,71.19
7.27,69.62,72.54,6.37,78.89,0,79.16
7.32,74.0,78.64,6.8,43.69,1,71.31
4.24,80.0,53.06,7.14,88.82,1,76.96
3.64,64.58,68.18,7.44,96.43,1,71.47
8.28,84.75,45.73,5.27,78.93,0,73.63
8.29,93.01,61.15,4.05,97.27,0,80.16
8.8,88.99,66.82,7.62,49.09,1,88.57
9.22,51.98,75.87,6.68,68.64,1,70.96
5.6,74.03,92.28,8.18,76.11,1,86.73
5.51,55.25,73.04,8.11,74.9,0,73.37
8.18,62.1,80.9,8.22,64.09,0,81.32
6.85,99.33,67.84,6.43,60.29,0,86.32
7.32,57.12,74.88,5.67,47.61,1,70.02
8.16,74.94,43.9,7.96,63.5,1,77.31
9.01,80.91,53.99,6.26,49.76,1,77.88
4.04,85.12,59.9,4.92,84.06,1,75.13
4.38,77.98,65.99,8.27,52.53,1,69.27
1.85,50.49,42.51,8.41,43.51,0,45.81
6.2,66.32,47.7,6.33,73.14,1,72.32
1.32,75.89,55.22,4.38,75.71,1,59.44
5.19,54.39,93.43,5.94,92.31,1,75.13
5.88,67.53,58.22,8.02,74.62,0,69.66
3.58,51.66,66.51,8.51,60.73,1,67.98
6.32,53.93,50.79,5.02,88.18,0,68.46
1.27,69.85,73.59,4.33,72.42,0,57.56
1.34,56.64,55.44,8.39,44.76,0,41.71
8.4,78.38,51.38,5.95,73.95,0,76.77
4.24,84.47,68.41,6.71,94.48,0,70.8
2.14,90.03,40.3,8.84,63.78,1,54.23
5.7,60.01,40.42,4.33,57.78,1,46.24
7.93,58.37,52.05,7.24,48.61,0,71.13
2.94,55.23,42.02,4.37,49.09,0,47.54
6.61,81.82,45.94,5.88,65.97,0,66.77
1.77,85.32,58.64,8.02,75.74,1,72.95
1.47,51.58,84.14,6.17,44.84,1,63.95
5.78,96.81,71.46,8.99,96.37,0,93.23
5.87,52.6,68.2,6.8,85.31,1,68.47
6.74,77.06,56.14,5.61,75.2,1,73.45
7.53,85.45,91.25,5.1,89.71,0,82.5
9.78,93.55,61.84,5.75,44.81,0,79.24
5.65,85.7,44.79,5.86,68.61,1,67.03
3.91,90.09,73.94,4.34,77.81,1,76.35
8.16,66.97,46.26,5.85,89.72,1,74.39
3.44,90.74,58.99,6.32,87.01,0,72.41
4.95,54.01,67.91,7.61,56.62,0,69.67
1.71,94.74,88.08,7.28,96.45,0,88.06
1.23,77.38,67.15,7.54,47.46,1,61.22
9.66,90.86,78.62,4.04,92.51,1,88.03
8.52,72.62,94.6,5.09,98.26,0,92.3
7.26,82.18,47.23,7.31,50.63,1,68.47
4.68,76.32,55.11,6.42,83.32,0,74.31
2.56,86.58,61.7,4.03,42.42,1,58.58
2.41,54.08,63.2,8.02,64.33,0,58.38
3.25,53.02,62.61,7.86,70.98,1,63.2
5.94,62.36,89.92,6.74,74.84,1,85.01
7.43,57.98,79.27,4.33,96.16,0,78.21
6.94,93.59,73.43,7.83,80.34,0,83.01
3.52,60.96,57.02,6.92,68.88,0,68.32
9.59,98.79,85.31,7.91,88.58,0,95.33
7.64,66.84,92.53,7.76,97.03,0,91.19
5.99,59.11,85.17,8.02,41.32,1,79.43
6.51,89.48,40.09,6.59,98.95,0,66.39
4.78,82.94,75.0,4.7,45.17,0,70.53
3.23,74.91,42.81,7.36,88.86,0,58.18
4.2,77.77,54.17,7.1,56.82,0,67.49
7.82,85.96,43.27,7.71,47.93,0,66.8
1.13,61.42,73.21,4.85,66.39,1,62.74
2.04,99.82,77.76,4.97,78.64,0,75.97
1.41,98.74,46.3,8.45,62.86,0,65.04
1.37,82.52,61.11,7.75,43.27,0,60.43
8.7,59.98,65.09,8.54,75.97,1,81.81
7.33,84.01,60.3,7.79,94.14,1,81.75
5.27,53.61,46.66,6.99,62.99,0,66.03
1.88,51.53,63.04,7.27,52.98,0,53.13
5.42,62.88,81.31,8.45,66.55,1,75.1
5.26,73.13,43.91,6.89,42.9,1,64.58
2.56,93.41,44.41,7.16,89.23,1,63.57
4.9,86.36,59.51,4.78,89.58,0,67.17
4.59,87.14,91.79,6.37,75.28,0,76.09
6.54,71.27,76.77,7.58,61.19,1,78.1
6.72,67.3,77.33,5.35,87.99,0,78.21
1.41,68.55,59.91,5.01,73.28,1,59.68
4.37,99.38,72.65,5.57,89.56,1,83.83
6.63,52.01,40.56,5.21,77.89,1,64.78
5.53,93.35,74.99,5.07,87.06,0,78.64
8.71,78.93,90.23,6.12,75.91,1,90.92
6.93,71.93,73.69,8.54,64.85,1,84.08
2.47,86.26,88.05,6.54,97.48,0,83.75
1.64,74.33,79.82,4.94,72.47,1,67.68
6.78,93.67,46.63,4.38,76.31,0,68.16
1.24,95.04,89.63,7.48,53.23,1,70.71
6.27,71.09,43.65,5.91,77.54,0,59.9
9.46,63.84,69.37,8.11,74.3,1,88.68
6.18,79.62,47.82,7.3,51.09,1,71.03
4.49,95.62,40.64,7.98,43.58,1,67.4
6.79,60.53,63.21,5.36,76.26,1,72.17
5.12,81.15,56.23,7.46,85.82,1,80.41
5.91,81.58,66.73,5.32,71.4,0,71.2
9.47,86.66,71.75,8.7,53.61,0,91.03
4.47,56.58,42.41,7.18,79.99,1,61.96
9.65,85.79,46.77,5.62,44.81,1,72.37
9.15,95.45,70.73,5.35,66.51,1,89.08
2.76,58.98,58.87,4.95,49.8,0,55.85
1.62,61.88,80.1,7.47,51.07,0,64.77
1.91,98.57,75.88,5.09,52.14,1,68.82
1.16,59.05,86.51,6.98,63.2,0,64.79
1.85,92.72,78.09,5.32,43.07,1,76.5
7.15,74.61,63.65,7.31,63.87,1,82.35
1.64,62.36,77.01,8.07,70.7,1,71.14
3.87,93.54,55.15,7.89,69.0,0,70.32
8.6,72.27,56.85,7.8,62.97,1,83.04
1.21,75.74,83.39,4.94,90.35,1,72.39
8.33,67.96,64.55,4.44,48.72,1,73.09
3.54,79.65,83.91,7.49,70.34,0,74.72
2.06,58.18,85.23,5.84,43.72,0,61.62
7.27,69.55,87.17,6.16,44.27,0,65.8
6.66,98.47,90.41,4.16,74.43,1,88.23
8.9,62.91,63.7,5.3,73.96,0,74.21
7.62,82.84,57.54,4.17,92.68,1,84.27
8.23,66.26,72.02,8.4,73.47,0,82.73
3.54,88.67,60.41,5.22,97.59,1,67.43
2.6,56.54,73.06,6.79,42.92,0,59.79
7.76,98.49,78.81,4.19,45.88,1,77.66
8.26,72.69,77.86,7.33,42.64,0,81.74
9.91,61.8,60.6,5.62,51.12,0,75.61
4.71,53.67,49.18,8.49,72.48,0,67.17
4.35,58.49,63.68,8.44,78.73,1,68.16
7.99,75.99,47.84,5.63,42.74,0,66.9
4.07,66.85,88.96,8.5,96.76,0,76.48
9.38,91.44,59.02,8.98,90.53,0,92.25
8.73,71.54,48.5,8.13,57.8,0,76.03
4.86,62.44,41.4,8.22,44.63,1,62.14
7.76,80.86,75.52,5.25,50.19,0,77.4
7.79,85.34,75.03,6.88,47.62,1,83.93
1.93,58.35,58.73,4.34,47.4,1,59.08
9.12,58.38,43.94,4.47,71.11,1,68.1
5.55,51.83,62.53,8.99,54.75,1,70.38
8.44,86.82,57.12,5.63,61.49,0,71.78
3.88,83.19,77.24,7.74,99.37,1,78.42
9.06,73.73,73.32,8.03,81.06,1,89.66
4.5,92.21,60.05,8.29,96.94,1,84.11
1.1,90.28,51.98,8.99,48.55,1,60.74
9.15,79.27,94.34,5.21,62.93,0,88.05
1.82,93.41,64.97,4.2,73.28,0,61.64
3.87,60.29,77.86,6.06,44.61,1,64.63
9.55,55.6,47.73,4.65,40.25,1,67.89
9.56,63.49,66.71,4.11,80.23,1,74.15
6.16,52.85,41.51,5.8,78.51,0,66.11
6.69,76.56,67.8,7.92,64.65,0,74.67
5.04,96.83,93.02,6.83,69.38,0,88.05
3.64,51.97,61.13,5.56,64.93,0,53.89
3.96,56.11,42.14,7.27,41.44,0,55.67
7.05,72.61,41.7,5.16,60.12,1,68.2
7.77,96.69,61.34,4.07,50.62,0,75.47
8.12,65.81,48.8,7.82,45.91,0,65.19
8.11,75.36,41.28,7.12,97.4,1,78.08
1.82,52.08,81.59,7.81,75.96,0,61.9
5.45,57.42,65.22,4.19,83.72,0,65.77
1.52,99.33,55.91,8.19,58.92,0,68.46
5.95,98.26,89.5,7.1,63.59,1,91.21
4.97,50.25,46.39,6.82,54.22,0,57.14
8.99,97.59,92.58,7.12,45.82,1,90.05
4.16,81.96,57.27,8.32,50.74,1,71.51
2.05,93.4,88.86,6.93,87.85,0,78.57
2.29,72.74,73.16,6.9,80.65,0,59.05
7.85,75.78,85.47,8.95,72.82,0,92.19
6.56,74.44,94.12,7.78,68.51,0,86.09
1.91,83.34,55.86,6.21,95.35,1,71.42
1.76,56.98,92.86,7.54,44.36,0,61.87
7.31,51.5,61.42,5.95,56.84,1,56.81
1.65,65.4,61.2,5.14,61.0,1,58.62
8.4,85.23,58.72,6.98,86.95,1,85.28
7.36,60.09,69.78,8.64,99.55,1,77.96
1.73,83.67,48.48,8.65,54.44,1,57.25
1.76,98.5,70.45,5.71,92.46,0,82.22
9.88,54.7,69.79,6.64,89.84,1,84.28
4.37,83.63,81.9,5.06,53.48,1,76.85
4.34,72.19,85.85,8.98,63.96,0,75.78
8.32,93.41,64.22,8.91,64.58,0,76.63
9.53,58.86,56.63,7.25,98.69,1,82.4
9.87,84.63,54.26,8.02,50.85,1,81.2
7.78,91.91,50.7,7.58,87.95,0,78.53
4.39,97.23,43.17,6.97,60.05,1,66.52
1.75,84.16,58.83,4.27,83.85,0,61.84
7.99,74.86,54.86,6.27,65.2,0,72.75
6.03,80.89,93.15,7.37,74.7,1,83.06
4.82,93.45,70.67,7.39,89.96,0,81.99
9.16,78.53,59.1,5.87,88.25,1,75.52
2.0,51.52,71.93,8.71,91.99,1,61.14
5.43,96.55,47.66,4.84,43.58,1,68.32
1.1,84.48,64.42,6.5,81.52,0,66.21
5.22,83.83,74.44,7.45,48.4,1,76.08
1.51,60.78,66.89,7.49,64.95,0,54.72
2.07,82.94,62.1,7.24,72.92,1,64.47
2.06,69.69,94.66,5.38,64.16,1,70.85
6.84,82.56,88.42,4.78,71.18,0,76.03
7.71,55.33,74.29,7.18,99.79,1,81.13
6.25,82.89,71.32,7.0,48.11,1,79.49
9.66,99.97,74.14,4.9,80.53,0,95.22
4.37,52.41,51.07,7.53,63.76,0,58.47
3.57,98.86,61.73,6.28,47.98,0,69.94
8.82,70.35,42.17,7.34,49.52,1,63.65
3.01,93.54,66.16,8.19,96.96,0,78.85
9.67,89.12,69.87,4.85,92.78,0,84.42
1.11,78.35,52.53,4.1,94.42,1,60.36
9.73,86.92,93.02,7.9,99.49,0,100.0
1.39,93.93,90.02,7.05,52.5,1,79.49
9.02,70.21,79.72,7.5,61.33,1,83.44
5.75,66.35,69.34,8.19,80.15,0,78.73
9.94,83.38,87.85,8.01,69.03,1,95.52
1.66,90.39,47.19,8.8,65.1,0,61.09
5.98,88.11,83.48,6.68,61.47,0,80.31
9.72,89.89,46.87,6.44,75.63,0,76.32
5.71,71.78,83.68,6.01,74.54,0,78.05
6.66,90.89,55.17,4.77,49.69,1,70.5
7.26,56.01,88.24,6.86,68.3,1,83.75
5.09,77.22,91.92,5.39,73.21,0,79.74
6.65,50.29,48.18,8.61,74.22,0,70.78
6.26,66.23,65.45,6.92,52.61,1,75.76
9.11,68.32,93.95,6.96,84.54,0,88.25
1.41,69.81,66.59,5.77,41.51,1,61.15
3.53,84.77,87.5,4.26,61.29,0,67.24
9.55,69.43,72.38,4.16,86.81,1,86.71
9.01,72.43,60.64,6.12,73.83,1,82.97
5.1,61.88,55.72,4.42,55.67,1,53.97
6.58,68.66,51.18,7.03,81.7,0,71.28
3.5,61.36,81.9,8.4,74.04,0,71.52
2.69,53.66,61.26,8.41,87.77,0,61.66
5.17,80.17,68.12,7.3,84.1,0,81.77
4.18,83.41,67.08,5.06,76.61,0,67.07
6.25,80.97,71.75,8.31,69.29,1,78.58
1.7,73.17,87.61,8.43,47.99,1,71.69
9.77,68.99,93.94,4.98,55.68,1,91.67
9.88,93.17,62.42,7.69,65.15,1,87.91
7.28,75.95,85.51,5.43,75.96,1,89.54
5.82,73.96,82.05,8.01,70.82,1,84.84
3.79,51.28,71.54,8.99,57.29,1,60.12
8.32,67.06,92.58,4.15,40.39,0,76.79
7.16,69.01,51.03,8.49,69.77,1,72.52
2.46,69.94,46.01,7.11,57.14,0,57.41
9.2,79.01,86.97,8.87,84.08,1,86.65
8.4,76.68,64.15,6.33,41.44,1,86.7
9.55,80.4,86.58,8.24,75.09,0,96.0
7.53,88.24,89.12,4.31,96.49,1,91.21
6.52,90.65,43.44,5.68,50.46,0,70.44
4.76,85.91,88.59,4.34,68.3,1,88.22
9.39,97.78,64.66,8.88,45.49,0,89.29
8.79,50.91,68.07,8.08,77.54,1,85.55
1.41,59.79,74.46,8.26,73.03,0,65.41
1.24,50.38,90.95,8.69,64.44,0,67.14
4.39,82.37,41.05,4.43,71.28,1,59.24
8.29,94.9,66.23,5.93,93.79,1,84.55
9.89,62.17,77.82,4.36,51.78,0,75.94
2.35,96.35,79.75,5.05,41.35,1,63.45
6.35,53.01,78.09,5.15,91.7,0,74.97
4.43,96.72,47.39,6.35,74.63,1,62.98
9.73,67.58,56.47,5.34,93.44,0,80.4
8.58,55.07,59.73,4.5,75.82,1,73.35
8.54,74.29,84.24,4.84,88.61,0,86.84
5.22,62.84,55.33,4.74,65.78,1,61.86
4.73,64.24,51.59,8.87,84.99,0,81.09
3.46,65.36,92.66,7.8,94.78,0,85.51
1.51,90.15,40.49,8.84,74.33,1,57.4
8.78,76.96,94.88,6.2,50.85,1,90.41
8.32,65.57,77.23,5.39,56.13,0,75.01
10.0,80.52,85.57,7.99,51.92,0,86.76
9.97,85.81,56.2,5.63,54.81,0,73.07
6.0,63.63,40.79,5.5,58.38,0,60.73
7.92,70.68,80.58,5.16,73.31,1,80.16
